casualty  n.严重伤亡事故;伤亡人员
catabolism  n.分解代谢
catalog(ue)  n.目录v．编目
catalyst  n.催化剂
cataract  n.大瀑布；白内障
catastrophe  n.大灾难，大变动
category  n.种类，类型；范畴
cater  v.迎合，投合；供应伙食(for)
catheter  n.导管
cathode  n.阴极，负极
caustic  a.腐蚀性的；n.腐蚀剂
caution  n.小心，谨慎；警告v．告诫，警告
cautious  a.小心的，谨慎的
celerity  n.迅速,敏捷
celery  n.芹菜
celiac  a.腹的；腹腔的
cellular  a.细胞的；由细胞组成的
cellulose  n.纤维素
cement  n.水泥；牙骨质
centennial  a.一百周年的
centigrade  a.摄氏温度计的
centrifuge  v.离心；分离n.离心机
cephalic  a.头的，头部的；头侧的
cereal  a.谷类的，谷类植物的n.(pl.)谷类；谷类食物
cerebellum  n.小脑
cerebral  a.大脑的
cerebrum  n.大脑
certainty  n.必然的事，必然，肯定
certificate  n.证书，证明书
certification  n.证明
certify  v.证明
cervix  n.颈；子宫颈
cessation  n.停止，休止
chain  n.链，链条；连锁v．拴住
chamber  n.房间;议院；会所；腔,心室
champagne  n.香槟酒
char  v.／n.打杂，(做)家庭杂务
charcoal  n.炭，木炭；炭笔
charity  n.慈善,仁慈；慈善团体
charm  n.魅力,美貌v．迷人，施魔法
charter  v.租船，租车n.宪章
chase  v.／n.追求，追赶
chemotherapy  n.化疗
cheque  n.支票
cherish  v.珍爱,怀有(爱情)
chestnut  n.栗子;栗树
chickenpox  n.水痘
chill  n.凉气，寒气；寒战v.使寒冷
chilly  a.凉快的，寒冷的
chimney  n.烟囱
chin  n.下巴，颏
chip  n.薄片，碎片
chloride  n.氯化物
chlorine  n.氯(气)
chlorophyl  n.叶绿素
choke  v.窒息，噎住；堵塞
cholera  n.霍乱
cholesterol  n.胆固醇
chord  n.弦，索，带v．协调，和谐；使和谐
chorus  n.／v．合唱
chromosome  n.染色体
chronic  a.慢性的，久病的，长期的
chronicle  n.编年史；历史，记事
chyme  n.食糜
cigar  n.雪茄烟
cigarette  n.香烟，纸烟
cilia  n.睫；纤毛
cinerary  a.灰的；骨灰的
circadian  a.生理节奏的
circuit  n.电路，环行，巡回
circumscribe  v.在…周围划线；限制，约束
circumstance  n.情形，环境，状况
circus  n.马戏场，杂技场；马戏团
cirrhosis  n.硬变；肝硬化
citrus  n.柠檬；柑橘
civilization  n.文明，文化
civilize  v.使文明，开化
clamo(u)r  v.n.吵闹，叫喊
clamp  n.夹子，夹钳v．夹紧
clap  v.拍，轻拍，拍手n.拍手喝彩(声)
clarify  v.澄清，阐明
clarity  n.清澈，明净
clasp  n.扣子，钩子v．扣住;紧握，紧抱
clatter  n.得得声，卡塔声v.得得地响，卡塔地响
clavicle  n.锁骨
clay  n.粘土；肉体，人体
cleavage  n.劈开；分裂；卵裂
cleave  v.(cleft；cleftorcloven)劈开;把…分成几个小部分
cleft  n.裂，裂口
client  n.顾客，客户，诉讼委托人
climacteric  n.更年期；绝经期；转折点
cling  v.粘住，依附，坚持
clip  v.修剪；剪辑
clone  v.克隆
closure  n.关闭；罩子
clown  n.小丑，丑角
clue  n.线索
clump  n.丛；簇；群；细菌凝块
clumsy  n.串，簇，束
clutch  v.抓住，攫住
coach  n.客车，长途汽车；私人教师，教练v．辅导，教练
coagulate  v.凝结，凝固
coarse  a.粗的，粗劣的,粗糙的,粗俗的
coastal  a.海岸的，近海岸的
cocaine  n.可卡因
coccus  n.球菌
coffin  n.棺材
coil  n.卷，圈v．卷，盘绕
coincide  v.相符合，相一致
coincidence  n.巧合，符合
coke  n.焦炭
colic  n.绞痛,急腹痛a.绞痛的;结肠的
colitis  n.结肠炎
collaborate  v.合作，协作，勾结
collaboration  n.合作，协作，勾结
collagen  n.胶原(蛋白)
collapse  v.倒坍，崩溃；虚脱
collide  v.碰撞，冲突，抵触
collocation  n.排列；搭配；配置
colloid  n.／a．胶体(的)，胶质(的)
colloquial  a.口语的，会话的
colon  n.结肠
colonel  n.(陆军)上校
colonist  n.殖民者，移民
colony  n.殖民地；群体;菌落
colossal  n.巨像的，巨大
column  n.柱，柱状物，专栏
coma  n.昏迷
comb  n.梳子v．梳理
combat  v.／n.战斗
combination  n.结合，联合；化合
combine  v.结合，联合；化合
combustion  n.燃烧；氧化
comedy  n.喜剧，喜剧场面
comet  n.慧星
comic  a.喜剧的，滑稽的
commander  n.指挥员，司令员
commemorate  v.纪念
commence  v.开始
commencement  n.开始；学位授予典礼(日);毕业典礼(日)
comment  n.／v．解说，评论，意见
commerce  n.商业
commercial  a.商业的，商务的
commission  n.委员会，委托，代办,委托书，佣金，手续费
commitment  n.托付；信奉；承诺，保证
commodity  a.商品，日用品
commonplace  n.常见的事物；平常话
commonsense  n.常识a．有常识的；明明白白的；一望而知的
communism  n.共产主义
communist  n.共产党员a．共产主义的
community  n.社区，社会
compact  a.紧密的，坚实的v．压缩
companion  n.同伴，伴侣
comparison  n.比较，比喻
compartment  n.分隔；空间；隔室
compass  n.罗盘，指南针
compassion  n.同情；怜悯
compatible  a.相容的；一致的
compatriot  n.同胞
compel  v.强迫,使不得不；迫使屈服
compensate  v.补偿,赔偿，酬报
compensation  n.补偿,赔偿；补偿物，赔偿费
competent  a.有能力的，能胜任的；应该的；足够的；有权能的
competition  n.比赛，竞争
competitive  a.比赛的，竞争的
competitor  n.竞争者；比赛者；敌手
compile  v.编辑，编制；搜集，汇编
complacence  n.自满，自鸣得意
complement  n.／n.补充，补足；补体．
complexion  n.肤色；情况，局面；气质，性格
complicated  a.错综复杂的，麻烦的
complication  n.复杂，混乱；复杂的情况；并发病，并发症
comply  v.照做；遵守
component  a.组成的，合成的n.组成部分；组元；分量；元件
compose  v.创作，作曲；组成
composer  n.作曲者；创造者
comprehend  v.了解，领会；包含，包括
comprehensive  a.广泛的，综合的；理解的，有理解力的
compress  v.压缩，浓缩；n.敷布，压布
comprise  v.包含，包括，构成
compromise  v.／n.妥协，折衷
compulsive  a.强迫的，有强迫力的
compulsory  a.强迫的；义务的
concave  a.凹的，凹面的
conceal  v.隐藏，隐瞒，隐蔽
concede  v.承认；让步；给与
conceit  n.自负,自高自大;想法,个人的意见
conceive  v.设想,构想;以为;怀胎,怀有
conceptual  a.概念的
concession  n.迁就，让步；特许；特许权；租界
concise  a.简明的，简洁的，简要的
concomitant  a.伴随的；伴发的
concord  n.和谐；协调
concrete  n.混凝土a．具体的；混凝土制的
condemn  v.谴责，指责；判刑，宣告有罪
condense  v.压缩，浓缩，精简；使冷凝
condenser  n.冷凝器，凝结器；电容器
conducive  a.有助于…的，有益的
conduct  n.行为，品行v．引导,指挥；传电，传热
conductivity  n.传导率；传导性
conductor  n.领队，乐队指挥；售票员,列车员；导体
conduit  n.管道；导管
confer  v.授予；协商
conference  n.会议，讨论会
confess  v.承认，坦白，忏悔
confine  v.限制，局限于；管制，禁闭
confront  v.使面对，使面临；正视
congenital  a.先天的，天生的
congest  v.充满；拥挤；充血
congestion  n.充满；拥挤；充血
congress  n.大会；国会,议会
conjecture  v.推测；假设
conjoin  v.结合，连接
conjugate  n.结合，使成对
conjunction  n.结合，联合；连接;关联；连接词
conjunctiva  n.结膜
conjuncture  n.结合；紧要关头
conquer  v.征服，战胜
conquest  n.征服，赢得
conscience  n.良心，良知
conscientious  a.认真的；诚心诚意的；谨慎的
conscious  a.有意识的，知觉的
consecutive  a.连续的，连贯的；顺序的
consensus  n.一致；舆论；同感，交感
consent  v.／n.同意，答应
consequence  n.后果，影响；重要性
consequent  a.作为结果的，随后发生的n.当然的结果，推论
conservation  n.保存，保护；守恒
conserve  v.保存，保藏；保养
considerate  a.考虑周到的，体谅的
consideration  n.考虑，思考；体谅
consistent  a.前后一致的，始终如一的
console  v.安慰，慰问
consolidate  v.巩固，加强；合并，联合
consonance  n.调和，一致；共鸣．
conspicuous  a.明显的；惹人注目的
constipation  n.便秘
constituent  a.形成的，组成的n.选民；成分
constitute  v.组成，构成
constitution  n.构成，机构,成分,体格,体质；宪法
constraint  n.强逼，强制；紧张感，紧张状态
constrict  v.压缩，收缩；阻塞
consult  v.商量，咨询；会诊
consultant  n.请教者；商议者；顾问,会诊医生
consume  v.消费，消耗
consumption  n.消费，消耗；肺结核；结核
contact  v.／n.接触，联系，交往
contagious  a.传染的
contain  v.容纳,含有，装有
container  n.容器,集装箱
contaminate  v.弄脏,污染；传染
contamination  n.污染,沾染物
contemplate  v.注视,沉思；期待,仔细考虑
contemporary  a.现代的，当代的n.同时代的人，同年龄的人
contempt  n.轻蔑，藐视；受辱,丢脸
contend  v.竞争，斗争；争论
content  n.内容，目录；容量，含量n.／a．满足(的)，甘愿(的)
contest  v.竞赛，比赛；争夺
context  n.上下文，前后关系
continence  n.自制，节制；节欲
continent  n.大陆，洲
contingent  a.可能(发生)的，偶然的，意外的；应急的n.意外事件；代表团；小分队
contour  n.轮廓，外形
contraceptive  a.避孕的n.避孕药物／用具
contract  n.契约，合同，包工v．收缩；得(病)
contractile  a.可收缩的
contractor  n.订约人；承包人；收缩肌
contradict  v.反驳；同…矛盾，同…抵触
contradiction  v.矛盾；反驳
contraindicate  v.禁忌
contralateral  a.对侧的
contrast  v.对照,对比,形成对比,使对照
controversial  a.争论的；爱争论的；引起争论的
controversy  n.争论，论战；争吵
convalescent  a.恢复健康的，渐愈的；恢复期的n.恢复中的病人
convenience  n.便利，方便；(pl.)便利设备
convenient  a.便利的，方便的
convention  n.大会，会议；习俗，惯例；公约，协定
conventional  a.惯例的，常规的,传统的;协定的
converge  v.会聚，集中
conversation  n.会话，谈话
convey  v.运送，运输；传达，传播
conviction  n.定罪；深信，确信
convince  v.使信服，使确信
convulsion  n.震动；痉挛，惊厥
cooper  n.制桶工人，修桶工人v.修桶；挫败；毁掉
coordinate  a.同等的，对等的，并列的v．使成为同等；使协调
coordination  n.同等，调整；协作；协调
cope  v.应付，对付
copious  a.丰富的，大量的
copyright  n.版权，著作权
cord  n.绳，索；索状组织
cordial  a.诚恳的，亲切的，热诚的;刺激的；强心的n.兴奋剂
cork  n.软木塞
cornea  n.角膜
coronary  a.冠状的
corporate  a.社团的；共同的；全体的
corporation  n.团体，公司
corps  n.军团，部队
corpse  n.死尸，尸体
corpuscle  n.小体，细胞，血球；微粒
corridor  n.走廊
corrosion  n.腐蚀，侵蚀；锈
corrupt  a.腐化的，贪污的v．腐蚀；贿赂
cortex  n.皮质
cosmetic  n.化妆品a．化妆用的，美容的
cosmic  a.宇宙的，广大无边的
